Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field
22256,dialectology,Noun,The study of dialects.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
22259,dialectometry,Noun,The study of the regional distribution of dialects.,linguistics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
24909,dietetics,Noun,The study of diet and nutrition in relation to health and disease.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
24989,dietology,Noun,"The study of diets (nutritional regimes). 2015 July 14, Rostyslav V. Bubnov et al., Probiotics and immunity: provisional role for personalized diets and disease prevention, in The EPMA Journal[1], volume 6, DOI:10.1186/s13167-015-0036-0:Designing person-related probiotic strains and smart physiologic low-dose treatments in order to correction the gut microbiome is an important impact to personalized dietology and is a challenge for medicine of the future.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
25122,differential geometry,Noun,"The study of geometry, especially geometric structures on differentiable manifolds, using techniques from calculus, linear algebra and multilinear algebra. 1945, Eric Temple Bell, The Development of Mathematics, 2nd Edition, 1992 Republication, page 358, [] projective differential geometries of the American and Italian schools do not seem to have attracted physicists. 1962, I. M. James, The Mathematical Works of J. H. C. Whitehead, Volume 1: Differential Geometry, page 189, The general theory of manifolds of class 2 is a sub-class of differential geometries, which contain the theory of affine connections, curvature and osculating sub-spaces. 1993, M. A. Akivis, V. V. Goldberg, Projective Differential Geometry of Submanifolds, page v, Note that projective differential geometry is a basis for Euclidean and non-Euclidean differential geometries since metric properties of submanifolds of Euclidean and non-Euclidean spaces should only be added to their projective properties. 2012, Heinrich W. Guggenheimer, Differential Geometry, page 145, In this sense, C k 0 {\displaystyle C^{k_{0}}} is the natural hypothesis of differentiability in the particular question of differential geometry.","geometry, mathematical analysis",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
25354,diffusometry,Noun,the study or measurement of diffusion,physics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
26865,dimensional analysis,Noun,"The study of the dimensions of physical quantities; used to obtain information about large complex systems, and as a means of checking mathematical and physics equations.",physics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
28549,diplomatic,Noun,"The science of diplomas, or the art of deciphering ancient writings and determining their age, authenticity, etc.; paleography. 1983, Theodore Frank Thomas Plucknett, Studies in English legal history (page 151) In its broadest aspect, the subject-matter of diplomatic is the relation between documents and facts.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
28564,diplomatics,Noun,"The science of authenticating, dating, and interpreting old official documents.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
28578,diplomatology,Noun,"The study or science of diplomatics, charters, decrees, etc.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
28610,diplopodology,Noun,The scientific study of millipedes,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
28819,dipsology,Noun,The study of the thirst for alcoholic beverages.[1],,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
28874,dipterology,Noun,"The scientific study of flies, the Diptera.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
36734,divinity,Noun,The study of religion or religions. Harvard Divinity School has been teaching theology since 1636.,uncountable,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
37734,documentology,Noun,The study of the recording and retrieval of information.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
